,disposition,period,time0bk,impact,duration,depth,ror,srho,prad,sma,incl,teq,insol,dor,ldm_coeff2,ldm_coeff1,count,tce_plnt_num,steff,slogg,smet,srad,smass,ra,dec,kepmag,hmag
9435,CANDIDATE,6.612446924949333,6.810568712136765,0.25618840827844075,3.74911667216777,6.818706657090856,0.01965273489630571,0.30956210095387476,1.3209256657196413,0.9758,89.89,232.0,0.6444550048449342,5.576720718091328,0.2787,0.3728,1,1.0,5769.0,4.57,-0.32,0.7420112801599397,0.9,292.48166,46.371479,15.138,13.527
9436,FALSE POSITIVE,0.9326288985396626,5.576210382984088,1.0146921354212632,2.2817803945656268,11.046276203791354,0.42740401450439863,0.10709516348659265,5.617075179640059,0.0251,50.16,3791.0,11.49230185286235,1.3839389745410868,0.2786,0.2964,1,1.0,8059.0,3.789,-0.26,1.7728894666134907,1.834,292.64063,46.388039,14.902,14.011
9438,CANDIDATE,6.69791086762677,6.435511708681153,0.2812763716193096,3.0727993917296175,6.995034126917949,0.021317385416799874,1.6748865379976172,1.4917738471819986,1.0427,89.94,232.0,0.6444550048449342,6.334347928178608,0.2676,0.3928,1,1.0,5650.0,4.487,-0.06,0.8133200529314447,0.92,292.58734,49.834469,15.328,13.699
9439,FALSE POSITIVE,1.181505596840229,5.572951429953564,0.3667246042301368,1.4578554000892934,4.359433133334371,0.005824967059521189,1.0383832558639763,0.6608396407895863,0.0267,85.88,1802.0,8.510969907140476,2.3546956802519996,0.3029,0.3239,1,1.0,6325.0,4.409,-0.04,0.9583949531295922,1.157,296.97861,49.817329,14.063,12.783
9441,FALSE POSITIVE,4.285685614980291,5.742659302503705,0.5437990958159167,1.684102062951242,6.685113163644595,0.01879489343730895,3.042602051268582,3.9294631230500396,0.3043,89.64,1410.0,7.5318313005744395,5.192987713658941,0.1778,0.5473,1,1.0,5008.0,2.706,0.07,3.2116614484637602,2.844,286.56653,50.08947,13.56,11.315
9442,FALSE POSITIVE,1.3987689396691438,5.582258866975367,0.9038209612296167,2.2423265843322198,12.070493443321133,0.4660163362012542,0.2292857134688547,5.191764819491337,0.0331,73.03,2192.0,9.299687361015764,1.9755636923829398,0.3264,0.253,1,1.0,6929.0,4.102,-0.3,1.302846736438618,1.343,294.45728,50.03027,15.064,13.685
9443,CANDIDATE,2.9434262301159975,5.623669472218854,0.047981587084130216,2.6439793298019825,6.03978408167532,0.013264611012069324,0.24023261721986625,1.0661976449070127,0.0867,89.74,839.0,5.457303188394654,3.0441241687384744,0.2965,0.3342,1,1.0,5968.0,4.534,-0.26,0.7946774769753793,0.97,286.12177,50.279449,15.807,14.303
9444,FALSE POSITIVE,6.498062164973537,6.361578996571604,0.025997071557411468,3.0785109769148526,7.3889464796002775,0.025827128613792643,1.597930898923148,1.5501579568690622,0.8986,89.99,235.0,0.6689742267542799,6.173373694274228,0.2787,0.3728,1,1.0,5652.0,4.577,-0.28,0.7311057564953947,0.888,287.04742,44.987968,15.986,14.171
9445,FALSE POSITIVE,6.540503459093352,6.202972311268349,0.8484698003108891,3.7810665431208297,7.962067430158542,0.044652160492903326,0.021458353173241605,2.352812444728057,0.986,88.94,278.0,1.149552085872126,4.632879966309094,0.2868,0.3588,2,1.0,6060.0,4.408,0.02,0.9286489128536094,1.061,287.33807,44.918709,15.386,13.826
9446,FALSE POSITIVE,6.594718621899436,5.91597588077018,0.8346568879759879,3.4730535061994043,7.710653524230834,0.03788993325409249,0.0677681170417369,2.1918446306567265,1.0223,89.32,273.0,1.0905866100810677,5.053735558176696,0.2868,0.3588,2,3.0,6060.0,4.408,0.02,0.9286489128536094,1.061,287.33807,44.918709,15.386,13.826
9447,FALSE POSITIVE,6.253283747911814,6.367091074942762,0.49191911089609214,3.8732985944296834,6.422275103370457,0.016363269761318473,0.10649856898082637,1.0966106874411246,0.7471,89.59,237.0,0.6851279741045991,4.97678130145334,0.2175,0.4767,1,1.0,5374.0,4.61,-0.28,0.6883402671333694,0.833,289.86804,44.96003,14.458,12.647
9448,FALSE POSITIVE,2.3691399436801586,5.6024858704191915,0.19083950203462566,1.921097151406012,5.814139442376496,0.011830724014821773,1.002808774117695,0.970377330971082,0.059,89.09,989.0,6.114129450146078,3.18392914432509,0.2676,0.3928,1,1.0,5815.0,4.54,-0.12,0.7916731330564357,0.973,296.42264,44.976181,15.654,13.948
9449,FALSE POSITIVE,6.797875317267057,7.020451526326332,0.020998456806227195,3.0800713987931734,6.932839010420195,0.02066352947797462,1.860971652419877,1.4436354751788103,1.1358,90.0,230.0,0.6279164845017133,6.466644683891091,0.2916,0.3447,1,1.0,5911.0,4.53,-0.2,0.7991728301327599,0.972,287.10013,45.00631,15.152,13.578
9450,FALSE POSITIVE,6.619544045267985,6.818492598838766,0.5158197344899814,3.064729579817617,5.665746396428667,0.011318758316004637,1.2591734036295132,1.2112898396252523,0.9861,89.87,286.0,1.2436713996507454,6.126873951342351,0.2736,0.3819,1,1.0,5804.0,4.214,-0.2,1.03755874848814,0.909,289.75296,45.00629,12.283,10.757
9451,CANDIDATE,6.658977093162921,6.304999705759676,0.548136435125681,1.919662452061332,8.358900667318965,0.04353524650957146,4.760173851522863,2.034798045745902,1.0021,89.96,207.0,0.42691345412611653,7.348587945020414,0.1959,0.5086,1,1.0,5289.0,4.588,0.0,0.7248405091285276,0.886,300.69672,44.298409,15.953,14.029
9452,CANDIDATE,6.648620055896333,6.532767960871686,0.7916731330564357,3.1856644113822075,7.000152959522827,0.024718482743643463,0.27204206399721087,1.8887738268013834,1.1068,89.61,300.0,1.407275083512381,5.556070492692827,0.3103,0.2947,1,1.0,6551.0,4.367,-0.08,1.012768272410502,1.215,296.40787,44.77364,13.993,12.758
9453,CANDIDATE,0.6989460846448082,5.573092294212571,0.3166802745522358,0.812578789404524,4.290647040817864,0.0055859709500462274,2.7224391336302487,0.5515995615773177,0.0163,86.99,1908.0,8.73865535563414,2.5113182054160075,0.2555,0.4191,1,1.0,5651.0,4.479,0.16,0.8477460669621497,0.998,284.29565,44.895859,14.024,12.351
9454,FALSE POSITIVE,5.842282322987302,6.068571213005461,0.5705391278001182,3.1995209920473844,6.441905559682183,0.016845203320424728,0.4235336478290889,1.2489833279048763,0.5962,89.61,301.0,1.421048551715278,5.171651921758122,0.2622,0.4035,1,1.0,5659.0,4.538,-0.04,0.7856465474053163,0.95,286.86218,45.151569,15.112,13.455
9455,CANDIDATE,6.59875499572283,5.878720166482135,1.042585683677558,4.026383991986279,8.339166456012508,0.28978609113392767,0.006669950544162933,4.257230711711989,1.0624,88.03,281.0,1.1836177644700643,4.2823970204391495,0.3024,0.3288,1,1.0,6268.0,4.429,0.07,0.9503469298211343,1.188,287.86737,45.321289,15.267,13.879
9456,CANDIDATE,4.893004238342122,5.778219017795121,0.4039261917417352,2.55255613417426,6.850339129798129,0.020352594868053756,1.327043277945762,1.6980068754220312,0.3429,89.68,542.0,3.706831232632738,5.002648283520424,0.3103,0.2947,1,1.0,6592.0,4.369,-0.12,1.009555514259918,1.211,293.68979,45.549332,14.634,13.355
9457,FALSE POSITIVE,6.192559403801979,5.586226972412803,0.002999995500018225,1.9901558695922879,7.068172725931338,0.021598320736540836,4.554524255737632,1.3209256657196413,0.7134,90.0,228.0,0.6028207328114995,6.969791553217735,0.1611,0.5575,1,1.0,5094.0,4.612,-0.12,0.6819095312581698,0.821,287.89438,45.606468,15.492,13.566
9458,FALSE POSITIVE,1.061440721608394,5.579739914791311,0.41590549484769207,1.4870528195980586,5.110818618057089,0.008365902413744844,0.8225105917710716,0.5943789113022424,0.0209,84.27,1275.0,7.129474457270803,2.160476470604024,0.1731,0.5396,1,1.0,5044.0,4.64,-0.32,0.6411596066096268,0.762,294.77216,46.377731,15.457,13.478
9459,FALSE POSITIVE,1.3914600254929326,5.5740034815596555,0.3535860676446649,0.896145145847403,4.551880662035443,0.0063949564124555,3.2143552718052533,0.6112243137627638,0.0294,88.44,1433.0,7.598620107528347,3.2800697202298554,0.2676,0.3928,1,1.0,5793.0,4.485,-0.1,0.8273341649920448,0.954,295.39212,46.329639,14.007,12.424
9460,FALSE POSITIVE,6.649904041859821,6.576726071525337,0.6567579146327599,2.9569901520552437,5.557614848500334,0.01113277003531103,1.1413196274357766,1.1552963513403973,1.0569,89.82,287.0,1.2489833279048763,6.100323979229837,0.302,0.319,1,2.0,6165.0,4.319,-0.08,1.0011652068720225,1.051,291.97656,46.414631,12.458,11.132
9461,FALSE POSITIVE,6.609929165178962,6.902797213031919,1.0500893571613468,3.659083843372901,8.177515902750246,0.2994591819342461,0.019668731804448027,4.03313770530921,0.9944,88.63,212.0,0.45421935891295473,4.65023493709003,0.1742,0.5484,1,1.0,5189.0,4.557,0.48,0.7712374333598078,0.951,291.98297,46.486462,15.713,13.761
9462,FALSE POSITIVE,6.594534338659368,5.5811799744525405,0.49725328488063864,3.3875645714885674,7.317345642459984,0.025893106551320804,0.6225000334274419,1.8310202441165366,1.0416,89.82,283.0,1.2002974490643574,5.812944720420969,0.302,0.319,1,1.0,6306.0,4.426,-0.1,0.9341059073171936,1.126,292.05267,46.43021,15.397,14.059
9463,FALSE POSITIVE,2.6482592254398543,5.595946278080497,0.09784380875685691,1.7709066569683987,5.095013986071185,0.008227907163583507,1.6776555509842948,0.8236590904324105,0.0749,89.7,974.0,6.052847354741569,3.6330082374671537,0.2826,0.3729,1,1.0,5977.0,4.473,0.21,0.8968446925198801,1.133,291.9935,46.516071,14.27,12.933
9464,FALSE POSITIVE,3.6502670008744067,5.580414764951079,0.6518471417260823,2.2476689494864543,5.445030388481872,0.010515806188799947,0.5840112105314398,1.4301380017399241,0.1567,88.26,970.0,6.037494685749083,3.8265040192476896,0.3218,0.2736,1,1.0,6654.0,4.113,0.02,1.3068887608417927,1.386,294.47092,46.592979,14.429,12.925
9465,FALSE POSITIVE,4.340152974509873,5.814937318724613,0.01699918127313763,1.786340199816898,8.729073576634955,0.05074721581425006,3.427457849986709,2.4185045881259937,0.2252,89.99,557.0,3.8173163514470985,5.358493454816914,0.2868,0.3588,1,1.0,5979.0,4.449,-0.04,0.8841991876055963,1.033,294.21954,50.260738,15.457,13.897
9466,FALSE POSITIVE,5.435152536926747,6.162184708124423,0.781110915598873,1.7478338394018227,6.334347928178608,0.017693076864101466,2.6510267458805536,1.1263020415776634,0.4053,89.71,316.0,1.5978376024363126,5.827777125233586,0.3058,0.3352,1,1.0,5412.0,4.562,-0.76,0.6624696369716498,0.674,295.80801,50.227188,14.077,12.34
9467,FALSE POSITIVE,6.439987702188824,6.524847627409759,0.3526453302526999,2.8486190212168596,7.273786798760828,0.024488552339899942,2.008805642674871,1.421048551715278,0.8407,89.92,216.0,0.49013816143623457,6.280399345794137,0.2175,0.4767,1,1.0,5254.0,4.618,-0.26,0.6770703319308359,0.816,293.5318,50.311291,15.693,13.807
9468,FALSE POSITIVE,5.593763365315091,6.211862744380531,0.17313374687297034,2.863176811234564,6.762962029954783,0.01901485412935119,1.3133719326489552,1.421048551715278,0.519,89.92,351.0,1.9874690378871802,5.464696827499205,0.2868,0.3588,1,1.0,5910.0,4.505,-0.02,0.8383045748123235,1.032,294.07483,50.39724,15.541,13.944
9469,FALSE POSITIVE,1.6550871200977042,5.582539320931845,0.9888052034675848,2.2599237456341803,5.67608038024368,0.16969440121401397,0.007399932464330868,2.965866488518151,0.0297,31.28,726.0,4.876476076488386,1.1115450249532386,0.2589,0.4639,1,1.0,3932.0,4.745,-0.2,0.49902844445640293,0.548,286.409,50.41811,15.521,12.877
9470,FALSE POSITIVE,4.552544549161074,5.855966257890211,0.013999542706998762,2.2117311685918484,5.845290409274173,0.01173273081611356,2.2116748962125437,2.874493289234959,0.3379,89.99,1029.0,6.273257851136442,5.091331018224454,0.2105,0.4954,1,1.0,5166.0,3.12,0.07,2.6285870195591667,2.282,289.09659,50.427181,11.765,9.675
9471,FALSE POSITIVE,2.5074826724149815,5.598343081798217,0.7224847456035735,3.0372564043646437,4.1078601951977385,0.005550971492678759,0.012859645562767542,0.585898932259168,0.0681,74.44,1048.0,6.345499078821338,1.796074971702392,0.2844,0.3661,1,1.0,6108.0,4.466,0.07,0.9024284955304616,1.132,296.14963,50.46661,13.723,12.378
9472,FALSE POSITIVE,6.851405705202516,6.938434782892552,0.45964321782545475,3.192165573287524,7.203406074689495,0.024176644682138464,1.2786100443785517,1.5622747323463897,1.1718,89.9,218.0,0.5166998237890378,6.287862015043619,0.2676,0.3928,1,1.0,5764.0,4.548,-0.12,0.781110915598873,0.959,290.36932,45.009258,15.975,14.45
9473,FALSE POSITIVE,6.610747706674631,6.454205576606908,0.8542466713041943,4.125458079089083,6.265304827054017,0.019137831752394776,0.004009989253210931,1.5622747323463897,1.0222,88.21,284.0,1.2112898396252523,4.120925301590398,0.3032,0.3147,1,1.0,6227.0,4.377,-0.18,0.9429272294990645,1.025,293.064,45.03421,13.731,12.375
9475,CANDIDATE,6.38033101442434,6.4432052180399495,0.05197659380282396,3.4778766823245704,4.972635181511533,0.007667924857857912,0.5673065437773132,0.6028207328114995,0.7735,89.98,233.0,0.6526665660823557,5.636229873654629,0.2337,0.4535,1,1.0,5332.0,4.524,-0.48,0.702719545114204,0.708,286.94946,45.142139,11.922,10.212
9476,FALSE POSITIVE,6.598554671081926,5.896284120404165,0.5969154683208282,3.433737693175023,7.2979041412480665,0.026093039006019718,0.42682192093586463,1.6322721925270531,0.9878,89.75,245.0,0.7712374333598078,5.678818168610357,0.2965,0.3342,1,1.0,5931.0,4.545,-0.28,0.781110915598873,0.953,285.66858,45.45433,15.168,13.623
9477,FALSE POSITIVE,7.035414627485672,6.233058720871761,0.39003531977071526,3.305152364686394,6.924219972620153,0.02063653523367457,1.235111611223518,1.5045478847316407,1.2636,89.92,205.0,0.4085402078298078,6.393593550328204,0.1959,0.5086,1,2.0,5359.0,4.403,0.02,0.8455726970397273,0.832,290.3038,45.443291,12.933,11.222
9478,FALSE POSITIVE,1.8325113210055575,5.5789702034045,0.3742053431432221,2.692443398164797,5.009345631305018,0.007928916920912694,0.056499934951313696,0.6362049697957392,0.0392,82.72,1061.0,6.393827635331364,1.8278908419459012,0.2396,0.4415,1,1.0,5390.0,4.591,-0.14,0.7169745940950053,0.875,293.66754,45.498451,15.964,14.101
9479,FALSE POSITIVE,6.816853349228223,6.961018043414034,0.6304070655174485,2.195149307241678,5.448478539635633,0.010442810196913115,3.633170431305431,1.1836177644700643,1.117,89.93,270.0,1.0538247603460846,7.078342290493102,0.2736,0.3819,1,1.0,5678.0,4.161,-0.16,1.077231047854267,0.891,298.90518,45.61084,11.858,10.385
9480,FALSE POSITIVE,6.03998114910986,6.286254414952313,0.15636206877100647,1.8089166921396953,6.86129350195024,0.019650735282434263,4.929255823619968,3.3588039040680813,0.807,89.98,651.0,4.441141676224356,6.9920972721920664,0.2016,0.5023,1,1.0,5125.0,2.988,-0.46,2.5993006557712013,1.587,283.77472,45.910831,13.066,11.071
